rank,prev_rank,name,league,off,def,spi
101,115,Lokomotiv Moscow,Russian Premier Liga,1.46,0.84,60.64
102,103,Trabzonspor,Turkish Turkcell Super Lig,1.93,1.25,60.56
103,102,PAOK Salonika,Greek Super League,1.46,0.85,60.44
104,106,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
105,107,AEK Athens,Greek Super League,1.53,0.92,60.22
106,95,AZ,Dutch Eredivisie,1.82,1.17,60.22
107,88,Elche,Spanish Primera Division,1.65,1.03,60.07
108,93,Fulham,Barclays Premier League,1.67,1.06,59.94
109,112,Norwich City,English League Championship,1.68,1.07,59.89
110,111,Braga,Portuguese Liga,1.71,1.1,59.77
111,120,Bologna,Italy Serie A,1.68,1.07,59.71
112,100,Basel,Swiss Raiffeisen Super League,1.82,1.2,59.62
113,109,Galatasaray,Turkish Turkcell Super Lig,1.72,1.12,59.45
114,116,Bordeaux,French Ligue 1,1.43,0.87,59.16
115,101,Sampdoria,Italy Serie A,1.69,1.11,59.04
116,134,Atletico Mineiro,Brasileiro Série A,1.63,1.06,58.86
117,122,Ludogorets,UEFA Europa League,1.65,1.08,58.74
